Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",season,Position_Group,PDI,processing_date,data_source,ml_features_applied
J. Wonggorn,Jaroensak Wonggorn,-74431,BG Pathum United FC,Samut Prakan City,https://cdn5.wyscout.com/photos/team/public/g13080_120x120.png,Thai League,RW,RW,91.0,,0.0,,0.0,24.0,1997-05-18,300000,2029-06-30,29,2783,3,4.17,14,7.08,15.2,47.87,Thailand,['Thailand'],right,167,60,False,4.01,4.27,51.52,0.78,45.83,0.06,0.09,0.06,1.75,2.55,1.23,1,0.03,0,0.0,5.01,0.1,3,0.1,0.13,0,0.0,49,1.58,34.69,6.122,0.45,4.24,38.17,0.39,33.33,3.85,38.66,0.61,3.98,64.23,7.57,49.57,2.07,3.01,2.62,25.61,2.68,1.13,33.79,81.82,6.63,80.0,8.83,95.24,27.39,90.44,2.55,54.43,18.69,40.86,0.23,1.29,0.03,0.06,0.45,64.29,0.74,3.14,79.38,3.65,53.98,0.81,48.0,0.81,1.58,5.89,85.16,78.16,12.29,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.78,0.03,0.0,0.0,0.36,0,0.0,2020-21,FWD,60.833570952762585,2025-08-09T10:11:28.677422,simple_processor,True
N. Krutyai,Nukoolkit Krutyai,334039,Chiangmai,Sukhothai,https://cdn5.wyscout.com/photos/team/public/g17675_120x120.png,Thai League 2,"RCB3, CB",RCB3,49.0,CB,48.0,,0.0,28.0,1992-09-23,75000,2024-06-30,30,2772,0,1.34,1,0.42,11.59,61.06,Thailand,['Thailand'],right,177,72,False,8.05,5.0,57.14,3.73,68.7,0.19,0.29,0.68,5.0,7.32,0.58,1,0.03,0,0.0,0.58,0.0,0,0.0,0.04,0,0.0,15,0.49,13.33,0.0,0.03,0.29,44.44,0.03,0.0,0.23,57.14,0.03,0.65,60.0,1.43,63.64,0.45,0.78,0.06,28.31,0.36,0.52,44.06,84.67,20.78,74.53,1.4,88.37,37.27,90.85,6.49,51.0,22.08,37.57,0.01,0.13,0.0,0.0,0.13,0.0,0.1,6.49,66.5,0.81,56.0,0.68,33.33,0.29,0.13,9.03,75.54,94.98,18.77,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,3.73,0.1,0.1,33.33,0.03,0,0.0,2020-21,DEF,57.500857427475864,2025-08-09T10:11:28.677422,simple_processor,True
S. Langil,Steeven Langil,13770,Kasetsart,Ratchaburi,https://cdn5.wyscout.com/photos/team/public/g32809_120x120.png,Thai League 2,"RW, LW, RWF",RW,34.0,LW,19.0,RWF,13.0,33.0,1988-03-04,200000,2025-06-30,29,2771,7,6.84,10,10.92,22.77,47.5,Martinique,['Martinique'],right,182,67,False,3.09,3.87,52.1,1.33,26.83,0.1,0.14,0.0,0.97,1.41,1.07,7,0.23,0,0.0,9.81,0.23,6,0.19,0.22,1,0.03,56,1.82,48.21,12.5,0.32,7.24,34.53,2.79,32.56,4.45,35.77,1.27,10.95,55.49,15.17,50.32,2.5700000000000003,4.87,2.5,26.05,3.02,1.69,34.2,74.55,5.59,72.09,7.31,95.11,24.81,87.83,2.89,55.06,20.33,38.79,0.35,2.53,0.13,0.0,0.55,64.71,1.36,2.44,72.0,6.53,43.78,0.55,47.06,1.27,2.18,5.8100000000000005,87.15,66.6,15.36,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,1.33,1.69,0.1,66.67,2.7,2,50.0,2020-21,FWD,54.70766211286273,2025-08-09T10:11:28.677422,simple_processor,True
Caion,Herlison Caion de Sousa Ferreira,103775,,Suphanburi,,,CF,CF,92.0,,0.0,,0.0,30.0,1990-10-05,250000,,28,2755,13,17.88,4,4.6,30.25,40.17,Brazil,['Brazil'],right,184,81,False,2.65,1.86,56.14,10.45,45.63,0.26,0.38,0.03,1.34,1.95,1.99,7,0.23,1,0.03,5.1,0.42,10,0.33,0.58,2,0.07,122,3.99,35.25,10.656,0.13,1.83,17.86,0.65,10.0,1.14,22.86,0.2,6.01,50.54,12.94,36.62,4.87,2.03,1.24,7.19,1.96,1.14,12.12,61.46,2.71,57.83,2.25,82.61,10.0,69.61,0.42,46.15,18.17,13.41,0.15,0.85,0.0,0.07,1.05,31.25,0.59,0.72,40.91,1.93,54.24,0.85,26.92,1.34,0.2,1.7000000000000002,82.69,57.02,3.95,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45,0.07,0.07,0.0,0.0,3,100.0,2020-21,FWD,67.44519959817433,2025-08-09T10:11:28.677422,simple_processor,True
P. Padungchok,Prasit Phadungchok,334043,Chanthaburi,Police Tero,https://cdn5.wyscout.com/photos/team/public/g13068_120x120.png,Thai League 2,GK,GK,100.0,,0.0,,0.0,37.0,1983-10-13,0,,28,2749,0,0.0,0,0.0,0.79,75.0,Thailand,['Thailand'],right,189,70,False,1.47,0.1,33.33,0.59,83.33,0.03,0.05,0.0,1.41,2.06,0.03,5,0.16,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,5.73,0.1,0.07,12.8,83.89,8.02,77.55,0.0,0.0,8.28,95.26,4.49,63.5,35.88,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,55.26,0.0,0.0,0.03,100.0,0.0,0.0,4.09,73.6,94.81,4.42,48,1.57,145,4.75,5,66.9,46.47,1.52,-1.53,0.0,0.0,1.93,0.59,0.0,0.0,0.0,0.0,0,0.0,2020-21,GK,45.488154797610136,2025-08-09T10:11:28.677422,simple_processor,True
S. Daengsee,Sathaporn Daengsee,397253,Muang Thong United,Trat,https://cdn5.wyscout.com/photos/team/public/2860_120x120.png,Thai League,"LCB, LB",LCB,72.0,LB,23.0,,0.0,33.0,1988-05-13,75000,2025-06-30,28,2748,0,0.7000000000000001,1,0.98,12.45,53.42,Thailand,['Thailand'],both,180,0,False,10.28,6.75,58.25,2.62,41.25,0.56,0.76,0.59,5.8,7.95,0.92,6,0.2,1,0.03,0.85,0.0,0,0.0,0.02,0,0.0,8,0.26,12.5,0.0,0.03,1.05,37.5,1.05,37.5,0.0,0.0,0.16,0.6900000000000001,57.14,1.51,50.0,0.23,0.46,0.29,16.21,0.46,0.62,27.15,77.56,14.34,71.69,1.31,92.5,19.39,86.66,6.88,57.14,24.49,39.52,0.03,0.36,0.0,0.0,0.03,100.0,0.2,4.68,60.84,1.54,48.94,0.72,31.82,0.46,0.39,8.29,71.15,85.12,9.47,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,2.62,0.49,0.07,0.0,0.23,0,0.0,2020-21,DEF,49.91492747528517,2025-08-09T10:11:28.677422,simple_processor,True
Brinner,Brinner Henrique Santos Souza,171162,Kasetsart,Chiangrai United,https://cdn5.wyscout.com/photos/team/public/g32809_120x120.png,Thai League 2,"CB, RCB",CB,52.0,RCB,37.0,,0.0,34.0,1987-07-16,150000,2025-06-30,28,2748,3,1.69,1,0.05,10.12,63.43,Brazil,['Brazil'],right,189,73,False,8.45,3.34,67.65,4.42,62.22,0.2,0.29,0.8200000000000001,5.99,8.93,0.72,3,0.1,0,0.0,0.33,0.1,3,0.1,0.06,3,0.1,12,0.39,41.67,25.0,0.03,0.07,50.0,0.0,0.0,0.07,50.0,0.0,0.16,80.0,0.36,45.45,0.72,0.03,0.03,19.13,0.13,0.26,30.98,87.74,11.46,74.0,1.34,97.56,26.53,93.09,4.39,55.97,22.21,38.99,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.26,52.17,0.29,33.33,0.2,33.33,0.16,0.03,4.72,62.5,97.37,16.18,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.15,0.0,4.42,0.0,0.0,0.0,0.0,0,0.0,2020-21,DEF,52.5458379180161,2025-08-09T10:11:28.677422,simple_processor,True
T. Do,Tristan Do,195088,Muang Thong United,Bangkok United,https://cdn5.wyscout.com/photos/team/public/2860_120x120.png,Thai League,"RB, RWB",RB,66.0,RWB,22.0,,0.0,28.0,1993-01-31,250000,2025-06-30,29,2746,1,1.36,6,4.27,16.16,47.46,France,"['France', 'Thailand']",right,171,64,False,8.19,6.39,63.59,2.06,44.44,0.16,0.27,0.26,3.97,6.64,1.21,2,0.07,1,0.03,2.59,0.03,1,0.03,0.04,0,0.0,18,0.59,22.22,5.556,0.2,4.69,31.47,0.07,100.0,4.62,30.5,0.33,2.33,33.8,5.44,34.94,1.57,1.28,0.62,28.45,3.54,1.05,38.74,72.25,12.85,64.8,7.11,93.55,28.81,83.28,5.6,46.78,20.66,38.71,0.14,1.02,0.0,0.0,0.52,37.5,0.52,6.42,64.8,4.69,41.96,0.88,33.33,0.85,1.41,8.82,77.32,68.46,12.78,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,2.06,0.1,0.03,100.0,0.07,0,0.0,2020-21,DEF,58.74443680382727,2025-08-09T10:11:28.677422,simple_processor,True
Derley,Vanderley Dias Marinho,182421,Chonburi,Muang Thong United,https://cdn5.wyscout.com/photos/team/public/3639_120x120.png,Thai League 2,CF,CF,90.0,,0.0,,0.0,33.0,1987-12-29,200000,2025-06-30,29,2746,12,16.85,5,4.85,28.12,38.81,Brazil,['Brazil'],right,183,78,False,2.69,2.79,48.24,5.93,38.12,0.26,0.43,0.0,1.08,1.78,1.9,5,0.16,0,0.0,4.72,0.39,9,0.29,0.55,2,0.07,90,2.95,44.44,13.333,0.16,1.31,45.0,0.23,14.29,0.98,46.67,0.16,5.54,46.15,15.44,37.79,4.52,1.84,1.05,7.18,1.84,2.43,12.52,76.7,2.95,63.33,3.21,92.86,10.95,80.24,0.29,77.78,16.5,9.91,0.16,1.08,0.03,0.03,0.79,33.33,0.43,1.18,66.67,1.51,71.74,0.72,31.82,1.05,0.52,1.21,100.0,81.08,3.64,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93,0.07,0.07,0.0,0.0,5,60.0,2020-21,FWD,57.212374539081196,2025-08-09T10:11:28.677422,simple_processor,True
Tardeli,Tardeli Barros Machado Reis,-171951,Prachuap,Samut Prakan City,https://cdn5.wyscout.com/photos/team/public/g24607_120x120.png,Thai League,CF,CF,92.0,,0.0,,0.0,31.0,1990-03-02,275000,2025-06-30,28,2721,25,16.95,1,3.11,21.7,42.99,Brazil,"['Brazil', 'Thailand']",right,185,0,False,3.5700000000000003,3.11,55.32,4.2,60.63,0.0,0.0,0.1,1.85,2.74,1.32,2,0.07,0,0.0,3.94,0.8300000000000001,19,0.63,0.56,5,0.17,103,3.41,44.66,24.272,0.03,1.19,25.0,0.96,27.59,0.23,14.29,0.23,3.94,40.34,10.92,33.94,4.07,1.39,0.86,16.21,1.98,1.65,21.73,76.41,4.53,65.69,6.42,89.69,19.42,81.09,1.16,48.57,16.27,26.93,0.1,0.79,0.13,0.07,0.86,61.54,0.4,2.08,73.02,2.05,46.77,0.86,57.69,1.16,0.4,3.11,80.85,70.92,6.48,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,4.2,0.1,0.1,0.0,0.03,6,100.0,2020-21,FWD,60.30315832315335,2025-08-09T10:11:28.677422,simple_processor,True
